Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Male,(50-54),29.2,30,0.8,12.0,0.1,Not Significant,23.4,5.8,52.6,2.7,45.7,29.2 (±23.4),0.8 (±23.4),2.7% (±45.7%)
Blagoevgrad,Male,(55-59),47.6,71,23.4,15.4,1.5,Not Significant,30.1,17.5,77.7,49.2,57.8,47.6 (±30.1),23.4 (±30.1),49.2% (±57.8%)
Blagoevgrad,Male,(60-64),77.8,88,10.2,15.8,0.6,Not Significant,30.9,46.9,108.7,13.1,32.1,77.8 (±30.9),10.2 (±30.9),13.1% (±32.1%)
Blagoevgrad,Male,(65-69),106.1,121,14.9,19.4,0.8,Not Significant,37.9,68.2,144.0,14.0,30.0,106.1 (±37.9),14.9 (±37.9),14.0% (±30.0%)
Blagoevgrad,Male,(70-74),110.0,164,54.0,20.3,2.7,Significant Increase,39.8,70.2,149.8,49.1,39.6,110.0 (±39.8),54.0 (±39.8),49.1% (±39.6%)
Blagoevgrad,Male,(75-79),147.3,138,-9.3,17.4,-0.5,Not Significant,34.2,113.1,181.5,-6.3,17.7,147.3 (±34.2),-9.3 (±34.2),-6.3% (±17.7%)
Blagoevgrad,Male,(80-84),107.8,151,43.2,20.2,2.1,Significant Increase,39.6,68.2,147.4,40.1,37.7,107.8 (±39.6),43.2 (±39.6),40.1% (±37.7%)
Blagoevgrad,Male,(85-89),99.4,128,28.6,18.2,1.6,Not Significant,35.8,63.6,135.2,28.8,34.1,99.4 (±35.8),28.6 (±35.8),28.8% (±34.1%)
Blagoevgrad,Male,(90+),38.1,65,26.9,13.5,2.0,Significant Increase,26.4,11.7,64.5,70.6,69.8,38.1 (±26.4),26.9 (±26.4),70.6% (±69.8%)
Blagoevgrad,Total,(0-4),1.3,0,-1.3,4.8,-0.3,Not Significant,9.4,-8.1,10.7,-100.0,0.0,1.3 (±9.4),-1.3 (±9.4),-100.0% (±0.0%)
Blagoevgrad,Total,(10-14),2.3,0,-2.3,1.7,-1.3,Not Significant,3.4,-1.1,5.7,-100.0,0.0,2.3 (±3.4),-2.3 (±3.4),-100.0% (±0.0%)
Blagoevgrad,Total,(15-19),-1.6,2,3.6,2.3,1.6,Not Significant,4.4,-6.0,2.8,-225.0,-196.4,-1.6 (±4.4),3.6 (±4.4),-225.0% (±-196.4%)
Blagoevgrad,Total,(20-24),-1.5,5,6.5,3.1,2.1,Significant Increase,6.1,-7.6,4.6,-433.3,-442.0,-1.5 (±6.1),6.5 (±6.1),-433.3% (±-442.0%)
Blagoevgrad,Total,(25-29),6.3,2,-4.3,3.7,-1.2,Not Significant,7.2,-0.9,13.5,-68.3,16.9,6.3 (±7.2),-4.3 (±7.2),-68.3% (±16.9%)
Blagoevgrad,Total,(30-34),4.8,4,-0.8,4.9,-0.2,Not Significant,9.6,-4.8,14.4,-16.7,55.5,4.8 (±9.6),-0.8 (±9.6),-16.7% (±55.5%)
Blagoevgrad,Total,(35-39),14.4,17,2.6,6.1,0.4,Not Significant,11.9,2.5,26.3,18.1,53.5,14.4 (±11.9),2.6 (±11.9),18.1% (±53.5%)
Blagoevgrad,Total,(40-44),14.5,19,4.5,8.2,0.5,Not Significant,16.1,-1.6,30.6,31.0,68.9,14.5 (±16.1),4.5 (±16.1),31.0% (±68.9%)
Blagoevgrad,Total,(45-49),37.0,32,-5.0,12.4,-0.4,Not Significant,24.4,12.6,61.4,-13.5,34.4,37.0 (±24.4),-5.0 (±24.4),-13.5% (±34.4%)
Blagoevgrad,Total,(5-9),0.9,1,0.1,2.6,0.0,Not Significant,5.1,-4.2,6.0,11.1,94.4,0.9 (±5.1),0.1 (±5.1),11.1% (±94.4%)
Blagoevgrad,Total,(50-54),52.9,50,-2.9,13.8,-0.2,Not Significant,27.1,25.8,80.0,-5.5,32.0,52.9 (±27.1),-2.9 (±27.1),-5.5% (±32.0%)
Blagoevgrad,Total,(55-59),74.3,93,18.7,18.0,1.0,Not Significant,35.4,38.9,109.7,25.2,40.4,74.3 (±35.4),18.7 (±35.4),25.2% (±40.4%)
Blagoevgrad,Total,(60-64),116.3,137,20.7,20.1,1.0,Not Significant,39.3,77.0,155.6,17.8,29.8,116.3 (±39.3),20.7 (±39.3),17.8% (±29.8%)
Blagoevgrad,Total,(65-69),161.2,185,23.8,23.9,1.0,Not Significant,46.8,114.4,208.0,14.8,25.9,161.2 (±46.8),23.8 (±46.8),14.8% (±25.9%)
Blagoevgrad,Total,(70-74),177.9,273,95.1,27.3,3.5,Significant Increase,53.6,124.3,231.5,53.5,35.6,177.9 (±53.6),95.1 (±53.6),53.5% (±35.6%)
Blagoevgrad,Total,(75-79),223.0,263,40.0,27.6,1.4,Not Significant,54.1,168.9,277.1,17.9,23.0,223.0 (±54.1),40.0 (±54.1),17.9% (±23.0%)
Blagoevgrad,Total,(80-84),238.2,321,82.8,34.7,2.4,Significant Increase,67.9,170.3,306.1,34.8,29.9,238.2 (±67.9),82.8 (±67.9),34.8% (±29.9%)
Blagoevgrad,Total,(85-89),248.0,298,50.0,28.4,1.8,Not Significant,55.6,192.4,303.6,20.2,22.0,248.0 (±55.6),50.0 (±55.6),20.2% (±22.0%)
Blagoevgrad,Total,(90+),137.6,151,13.4,26.7,0.5,Not Significant,52.3,85.3,189.9,9.7,30.2,137.6 (±52.3),13.4 (±52.3),9.7% (±30.2%)
Burgas,Female,(0-4),1.7,6,4.3,3.2,1.3,Not Significant,6.3,-4.6,8.0,252.9,277.9,1.7 (±6.3),4.3 (±6.3),252.9% (±277.9%)
Burgas,Female,(10-14),0.6,0,-0.6,1.5,-0.4,Not Significant,2.9,-2.3,3.5,-100.0,0.0,0.6 (±2.9),-0.6 (±2.9),-100.0% (±0.0%)
Burgas,Female,(15-19),1.9,0,-1.9,2.2,-0.9,Not Significant,4.3,-2.4,6.2,-100.0,0.0,1.9 (±4.3),-1.9 (±4.3),-100.0% (±0.0%)
Burgas,Female,(20-24),-2.2,2,4.2,1.7,2.5,Significant Increase,3.3,-5.5,1.1,-190.9,-272.7,-2.2 (±3.3),4.2 (±3.3),-190.9% (±-272.7%)
Burgas,Female,(25-29),2.1,3,0.9,2.7,0.3,Not Significant,5.4,-3.3,7.5,42.9,102.9,2.1 (±5.4),0.9 (±5.4),42.9% (±102.9%)
Burgas,Female,(30-34),2.9,1,-1.9,2.9,-0.7,Not Significant,5.6,-2.7,8.5,-65.5,22.7,2.9 (±5.6),-1.9 (±5.6),-65.5% (±22.7%)
Burgas,Female,(35-39),11.0,3,-8.0,6.2,-1.3,Not Significant,12.2,-1.2,23.2,-72.7,14.4,11.0 (±12.2),-8.0 (±12.2),-72.7% (±14.4%)
Burgas,Female,(40-44),12.3,4,-8.3,5.5,-1.5,Not Significant,10.8,1.5,23.1,-67.5,15.2,12.3 (±10.8),-8.3 (±10.8),-67.5% (±15.2%)
Burgas,Female,(45-49),16.0,19,3.0,7.1,0.4,Not Significant,13.9,2.1,29.9,18.7,55.2,16.0 (±13.9),3.0 (±13.9),18.7% (±55.2%)
Burgas,Female,(5-9),-0.1,0,0.1,1.2,0.1,Not Significant,2.4,-2.5,2.3,-100.0,0.0,-0.1 (±2.4),0.1 (±2.4),-100.0% (±0.0%)
Burgas,Female,(50-54),8.2,20,11.8,7.6,1.6,Not Significant,14.9,-6.7,23.1,143.9,157.3,8.2 (±14.9),11.8 (±14.9),143.9% (±157.3%)
Burgas,Female,(55-59),42.5,35,-7.5,11.5,-0.7,Not Significant,22.5,20.0,65.0,-17.6,28.6,42.5 (±22.5),-7.5 (±22.5),-17.6% (±28.6%)
Burgas,Female,(60-64),60.5,45,-15.5,15.2,-1.0,Not Significant,29.8,30.7,90.3,-25.6,24.6,60.5 (±29.8),-15.5 (±29.8),-25.6% (±24.6%)
Burgas,Female,(65-69),81.2,90,8.8,18.0,0.5,Not Significant,35.3,45.9,116.5,10.8,33.5,81.2 (±35.3),8.8 (±35.3),10.8% (±33.5%)
Burgas,Female,(70-74),110.3,152,41.7,16.6,2.5,Significant Increase,32.6,77.7,142.9,37.8,31.4,110.3 (±32.6),41.7 (±32.6),37.8% (±31.4%)
Burgas,Female,(75-79),123.2,191,67.8,22.6,3.0,Significant Increase,44.2,79.0,167.4,55.0,40.9,123.2 (±44.2),67.8 (±44.2),55.0% (±40.9%)
Burgas,Female,(80-84),172.5,250,77.5,29.0,2.7,Significant Increase,56.9,115.6,229.4,44.9,35.9,172.5 (±56.9),77.5 (±56.9),44.9% (±35.9%)
Burgas,Female,(85-89),201.4,244,42.6,25.8,1.7,Not Significant,50.6,150.8,252.0,21.2,24.4,201.4 (±50.6),42.6 (±50.6),21.2% (±24.4%)
Burgas,Female,(90+),165.4,149,-16.4,23.7,-0.7,Not Significant,46.4,119.0,211.8,-9.9,19.8,165.4 (±46.4),-16.4 (±46.4),-9.9% (±19.8%)
Burgas,Male,(0-4),3.9,5,1.1,3.8,0.3,Not Significant,7.5,-3.6,11.4,28.2,84.3,3.9 (±7.5),1.1 (±7.5),28.2% (±84.3%)
Burgas,Male,(10-14),1.6,0,-1.6,1.5,-1.1,Not Significant,2.9,-1.3,4.5,-100.0,0.0,1.6 (±2.9),-1.6 (±2.9),-100.0% (±0.0%)
Burgas,Male,(15-19),0.1,1,0.9,2.4,0.4,Not Significant,4.6,-4.5,4.7,900.0,978.7,0.1 (±4.6),0.9 (±4.6),900.0% (±978.7%)
Burgas,Male,(20-24),3.4,1,-2.4,2.9,-0.8,Not Significant,5.8,-2.4,9.2,-70.6,18.5,3.4 (±5.8),-2.4 (±5.8),-70.6% (±18.5%)
Burgas,Male,(25-29),8.9,2,-6.9,4.4,-1.6,Not Significant,8.7,0.2,17.6,-77.5,11.1,8.9 (±8.7),-6.9 (±8.7),-77.5% (±11.1%)
Burgas,Male,(30-34),1.2,6,4.8,4.3,1.1,Not Significant,8.4,-7.2,9.6,400.0,437.5,1.2 (±8.4),4.8 (±8.4),400.0% (±437.5%)
Burgas,Male,(35-39),12.7,10,-2.7,5.5,-0.5,Not Significant,10.7,2.0,23.4,-21.3,36.0,12.7 (±10.7),-2.7 (±10.7),-21.3% (±36.0%)
Burgas,Male,(40-44),27.3,12,-15.3,8.4,-1.8,Not Significant,16.5,10.8,43.8,-56.0,16.6,27.3 (±16.5),-15.3 (±16.5),-56.0% (±16.6%)
Burgas,Male,(45-49),37.8,34,-3.8,10.4,-0.4,Not Significant,20.3,17.5,58.1,-10.1,31.4,37.8 (±20.3),-3.8 (±20.3),-10.1% (±31.4%)
Burgas,Male,(5-9),1.3,1,-0.3,1.6,-0.2,Not Significant,3.2,-1.9,4.5,-23.1,54.7,1.3 (±3.2),-0.3 (±3.2),-23.1% (±54.7%)
Burgas,Male,(50-54),41.2,54,12.8,14.5,0.9,Not Significant,28.4,12.8,69.6,31.1,53.5,41.2 (±28.4),12.8 (±28.4),31.1% (±53.5%)
Burgas,Male,(55-59),54.6,84,29.4,17.5,1.7,Not Significant,34.3,20.3,88.9,53.8,59.3,54.6 (±34.3),29.4 (±34.3),53.8% (±59.3%)
Burgas,Male,(60-64),112.7,132,19.3,21.2,0.9,Not Significant,41.6,71.1,154.3,17.1,31.6,112.7 (±41.6),19.3 (±41.6),17.1% (±31.6%)
Burgas,Male,(65-69),177.5,186,8.5,27.1,0.3,Not Significant,53.0,124.5,230.5,4.8,24.1,177.5 (±53.0),8.5 (±53.0),4.8% (±24.1%)
Burgas,Male,(70-74),178.5,195,16.5,21.5,0.8,Not Significant,42.2,136.3,220.7,9.2,20.8,178.5 (±42.2),16.5 (±42.2),9.2% (±20.8%)
Burgas,Male,(75-79),136.8,214,77.2,21.2,3.6,Significant Increase,41.5,95.3,178.3,56.4,36.4,136.8 (±41.5),77.2 (±41.5),56.4% (±36.4%)
Burgas,Male,(80-84),117.5,188,70.5,29.5,2.4,Significant Increase,57.9,59.6,175.4,60.0,52.8,117.5 (±57.9),70.5 (±57.9),60.0% (±52.8%)
Burgas,Male,(85-89),123.3,158,34.7,24.3,1.4,Not Significant,47.6,75.7,170.9,28.1,35.6,123.3 (±47.6),34.7 (±47.6),28.1% (±35.6%)
Burgas,Male,(90+),90.3,96,5.7,14.2,0.4,Not Significant,27.8,62.5,118.1,6.3,25.0,90.3 (±27.8),5.7 (±27.8),6.3% (±25.0%)
Burgas,Total,(0-4),5.6,11,5.4,4.9,1.1,Not Significant,9.6,-4.0,15.2,96.4,124.0,5.6 (±9.6),5.4 (±9.6),96.4% (±124.0%)
Burgas,Total,(10-14),2.2,0,-2.2,2.0,-1.1,Not Significant,4.0,-1.8,6.2,-100.0,0.0,2.2 (±4.0),-2.2 (±4.0),-100.0% (±0.0%)
Burgas,Total,(15-19),2.0,1,-1.0,3.2,-0.3,Not Significant,6.2,-4.2,8.2,-50.0,37.8,2.0 (±6.2),-1.0 (±6.2),-50.0% (±37.8%)
Burgas,Total,(20-24),1.2,3,1.8,3.4,0.5,Not Significant,6.7,-5.5,7.9,150.0,212.0,1.2 (±6.7),1.8 (±6.7),150.0% (±212.0%)
Burgas,Total,(25-29),11.0,5,-6.0,5.3,-1.1,Not Significant,10.5,0.5,21.5,-54.5,22.2,11.0 (±10.5),-6.0 (±10.5),-54.5% (±22.2%)
Burgas,Total,(30-34),4.1,7,2.9,5.5,0.5,Not Significant,10.8,-6.7,14.9,70.7,123.7,4.1 (±10.8),2.9 (±10.8),70.7% (±123.7%)
Burgas,Total,(35-39),23.7,13,-10.7,8.7,-1.2,Not Significant,17.1,6.6,40.8,-45.1,23.0,23.7 (±17.1),-10.7 (±17.1),-45.1% (±23.0%)
Burgas,Total,(40-44),39.6,16,-23.6,10.6,-2.2,Significant Decrease,20.7,18.9,60.3,-59.6,13.9,39.6 (±20.7),-23.6 (±20.7),-59.6% (±13.9%)
Burgas,Total,(45-49),53.8,53,-0.8,11.9,-0.1,Not Significant,23.3,30.5,77.1,-1.5,29.8,53.8 (±23.3),-0.8 (±23.3),-1.5% (±29.8%)
Burgas,Total,(5-9),1.2,1,-0.2,2.0,-0.1,Not Significant,4.0,-2.8,5.2,-16.7,64.1,1.2 (±4.0),-0.2 (±4.0),-16.7% (±64.1%)
Burgas,Total,(50-54),49.4,74,24.6,15.9,1.6,Not Significant,31.1,18.3,80.5,49.8,57.9,49.4 (±31.1),24.6 (±31.1),49.8% (±57.9%)
Burgas,Total,(55-59),97.1,119,21.9,21.2,1.0,Not Significant,41.5,55.6,138.6,22.6,36.7,97.1 (±41.5),21.9 (±41.5),22.6% (±36.7%)
Burgas,Total,(60-64),173.2,177,3.8,27.7,0.1,Not Significant,54.3,118.9,227.5,2.2,24.4,173.2 (±54.3),3.8 (±54.3),2.2% (±24.4%)
Burgas,Total,(65-69),258.7,276,17.3,32.2,0.5,Not Significant,63.1,195.6,321.8,6.7,20.9,258.7 (±63.1),17.3 (±63.1),6.7% (±20.9%)
Burgas,Total,(70-74),288.8,347,58.2,27.6,2.1,Significant Increase,54.1,234.7,342.9,20.2,19.0,288.8 (±54.1),58.2 (±54.1),20.2% (±19.0%)
Burgas,Total,(75-79),260.0,405,145.0,28.5,5.1,Significant Increase,55.8,204.2,315.8,55.8,27.6,260.0 (±55.8),145.0 (±55.8),55.8% (±27.6%)
Burgas,Total,(80-84),290.0,438,148.0,42.0,3.5,Significant Increase,82.2,207.8,372.2,51.0,33.3,290.0 (±82.2),148.0 (±82.2),51.0% (±33.3%)
Burgas,Total,(85-89),324.7,402,77.3,37.9,2.0,Significant Increase,74.2,250.5,398.9,23.8,23.0,324.7 (±74.2),77.3 (±74.2),23.8% (±23.0%)
Burgas,Total,(90+),255.7,245,-10.7,25.8,-0.4,Not Significant,50.5,205.2,306.2,-4.2,15.8,255.7 (±50.5),-10.7 (±50.5),-4.2% (±15.8%)
Dobrich,Female,(0-4),5.1,4,-1.1,3.1,-0.4,Not Significant,6.1,-1.0,11.2,-21.6,42.7,5.1 (±6.1),-1.1 (±6.1),-21.6% (±42.7%)
Dobrich,Female,(10-14),-0.6,0,0.6,1.2,0.5,Not Significant,2.4,-3.0,1.8,-100.0,0.0,-0.6 (±2.4),0.6 (±2.4),-100.0% (±0.0%)
Dobrich,Female,(15-19),0.0,2,2.0,0.0,,Undetermined,0.0,0.0,0.0,0.0,,0.0 (±0.0),2.0 (±0.0),0.0% (±nan%)
Dobrich,Female,(20-24),0.0,0,0.0,0.0,,Undetermined,0.0,0.0,0.0,0.0,,0.0 (±0.0),0.0 (±0.0),0.0% (±nan%)
Dobrich,Female,(25-29),0.6,0,-0.6,1.4,-0.4,Not Significant,2.7,-2.1,3.3,-100.0,0.0,0.6 (±2.7),-0.6 (±2.7),-100.0% (±0.0%)
Dobrich,Female,(30-34),0.2,0,-0.2,2.0,-0.1,Not Significant,4.0,-3.8,4.2,-100.0,0.0,0.2 (±4.0),-0.2 (±4.0),-100.0% (±0.0%)
Dobrich,Female,(35-39),3.7,2,-1.7,3.0,-0.6,Not Significant,5.9,-2.2,9.6,-45.9,33.3,3.7 (±5.9),-1.7 (±5.9),-45.9% (±33.3%)
Dobrich,Female,(40-44),3.6,4,0.4,4.1,0.1,Not Significant,8.0,-4.4,11.6,11.1,76.6,3.6 (±8.0),0.4 (±8.0),11.1% (±76.6%)
Dobrich,Female,(45-49),9.5,4,-5.5,5.3,-1.0,Not Significant,10.3,-0.8,19.8,-57.9,21.9,9.5 (±10.3),-5.5 (±10.3),-57.9% (±21.9%)
Dobrich,Female,(5-9),-0.4,0,0.4,1.5,0.3,Not Significant,2.9,-3.3,2.5,-100.0,0.0,-0.4 (±2.9),0.4 (±2.9),-100.0% (±0.0%)
Dobrich,Female,(50-54),18.3,12,-6.3,6.8,-0.9,Not Significant,13.3,5.0,31.6,-34.4,27.6,18.3 (±13.3),-6.3 (±13.3),-34.4% (±27.6%)
Dobrich,Female,(55-59),15.5,20,4.5,7.2,0.6,Not Significant,14.1,1.4,29.6,29.0,61.4,15.5 (±14.1),4.5 (±14.1),29.0% (±61.4%)
Dobrich,Female,(60-64),28.8,25,-3.8,9.2,-0.4,Not Significant,18.0,10.8,46.8,-13.2,33.4,28.8 (±18.0),-3.8 (±18.0),-13.2% (±33.4%)
Dobrich,Female,(65-69),21.0,39,18.0,11.1,1.6,Not Significant,21.7,-0.7,42.7,85.7,94.4,21.0 (±21.7),18.0 (±21.7),85.7% (±94.4%)
Dobrich,Female,(70-74),63.2,94,30.8,13.9,2.2,Significant Increase,27.3,35.9,90.5,48.7,44.8,63.2 (±27.3),30.8 (±27.3),48.7% (±44.8%)
Dobrich,Female,(75-79),101.4,93,-8.4,17.6,-0.5,Not Significant,34.6,66.8,136.0,-8.3,23.3,101.4 (±34.6),-8.4 (±34.6),-8.3% (±23.3%)
Dobrich,Female,(80-84),108.4,106,-2.4,23.3,-0.1,Not Significant,45.6,62.8,154.0,-2.2,29.0,108.4 (±45.6),-2.4 (±45.6),-2.2% (±29.0%)
Dobrich,Female,(85-89),87.0,100,13.0,18.8,0.7,Not Significant,36.9,50.1,123.9,14.9,34.2,87.0 (±36.9),13.0 (±36.9),14.9% (±34.2%)
Dobrich,Female,(90+),60.7,66,5.3,14.1,0.4,Not Significant,27.6,33.1,88.3,8.7,34.0,60.7 (±27.6),5.3 (±27.6),8.7% (±34.0%)
Dobrich,Male,(0-4),3.3,0,-3.3,2.4,-1.4,Not Significant,4.8,-1.5,8.1,-100.0,0.0,3.3 (±4.8),-3.3 (±4.8),-100.0% (±0.0%)
Dobrich,Male,(10-14),-1.1,0,1.1,1.2,0.9,Not Significant,2.4,-3.5,1.3,-100.0,0.0,-1.1 (±2.4),1.1 (±2.4),-100.0% (±0.0%)
Dobrich,Male,(15-19),3.0,1,-2.0,2.6,-0.8,Not Significant,5.1,-2.1,8.1,-66.7,21.0,3.0 (±5.1),-2.0 (±5.1),-66.7% (±21.0%)
Dobrich,Male,(20-24),2.3,1,-1.3,1.6,-0.8,Not Significant,3.1,-0.8,5.4,-56.5,25.0,2.3 (±3.1),-1.3 (±3.1),-56.5% (±25.0%)
Dobrich,Male,(25-29),-1.9,1,2.9,2.6,1.1,Not Significant,5.1,-7.0,3.2,-152.6,-83.8,-1.9 (±5.1),2.9 (±5.1),-152.6% (±-83.8%)
Dobrich,Male,(30-34),-1.8,2,3.8,2.9,1.3,Not Significant,5.8,-7.6,4.0,-211.1,-161.1,-1.8 (±5.8),3.8 (±5.8),-211.1% (±-161.1%)
Dobrich,Male,(35-39),1.1,2,0.9,3.9,0.2,Not Significant,7.7,-6.6,8.8,81.8,159.1,1.1 (±7.7),0.9 (±7.7),81.8% (±159.1%)
Dobrich,Male,(40-44),7.9,6,-1.9,5.4,-0.3,Not Significant,10.7,-2.8,18.6,-24.1,43.6,7.9 (±10.7),-1.9 (±10.7),-24.1% (±43.6%)
Dobrich,Male,(45-49),28.8,10,-18.8,7.3,-2.6,Significant Decrease,14.3,14.5,43.1,-65.3,11.5,28.8 (±14.3),-18.8 (±14.3),-65.3% (±11.5%)
Dobrich,Male,(5-9),-1.6,0,1.6,1.2,1.3,Not Significant,2.3,-3.9,0.7,-100.0,0.0,-1.6 (±2.3),1.6 (±2.3),-100.0% (±0.0%)
Dobrich,Male,(50-54),17.3,28,10.7,9.8,1.1,Not Significant,19.1,-1.8,36.4,61.8,84.9,17.3 (±19.1),10.7 (±19.1),61.8% (±84.9%)
Dobrich,Male,(55-59),35.0,35,-0.0,10.8,-0.0,Not Significant,21.2,13.8,56.2,-0.0,37.7,35.0 (±21.2),-0.0 (±21.2),-0.0% (±37.7%)
Dobrich,Male,(60-64),73.4,58,-15.4,14.0,-1.1,Not Significant,27.4,46.0,100.8,-21.0,21.5,73.4 (±27.4),-15.4 (±27.4),-21.0% (±21.5%)
