Sex,Location,SIGNIFICANT,Excess_mortality,Conf_interval,PYLL_mean,PYLL_fluctuation,PYLL_average_mean,AVG_PYLL_fluctuation,Population,PYLL_STD_MEAN,PYLL_STD_FLUC,PYLL_mean ±,PYLL_average_mean ±,PYLL_STD_MEAN ±
Total,Montana,Significant Increase,59.599999999999994,48.2,635.1999999999999,527.1,10.66,0.12,127001.0,500.2,415.036,635.2 (±527.1),10.66 (±0.12),500.2 (±415.036)
Total,Pazardzhik,Significant Increase,69.2,61.6,694.4,658.4,10.03,0.31,252776.0,274.7,260.468,694.4 (±658.4),10.03 (±0.31),274.7 (±260.468)
Total,Pernik,Significant Increase,121.0,98.2,729.8,592.5,6.03,0.0,119190.0,612.3,497.105,729.8 (±592.5),6.03 (±0.0),612.3 (±497.105)
Total,Pleven,Significant Increase,212.7,155.1,2613.5,1921.4,12.29,0.04,236305.0,1106.0,813.102,2613.5 (±1921.4),12.29 (±0.04),1106.0 (±813.102)
Total,Plovdiv,Significant Increase,515.1,300.2,5081.0,3038.2,9.86,0.1,666801.0,762.0,455.638,5081.0 (±3038.2),9.86 (±0.1),762.0 (±455.638)
Total,Razgrad,Significant Increase,105.8,80.8,1842.0,1488.4,17.41,0.44,110789.0,1662.6,1343.455,1842.0 (±1488.4),17.41 (±0.44),1662.6 (±1343.455)
Total,Ruse,Significant Increase,168.7,115.8,1325.4,833.0999999999999,7.86,0.27,215477.0,615.1,386.631,1325.4 (±833.1),7.86 (±0.27),615.1 (±386.631)
Total,Shumen,Significant Increase,66.2,53.6,630.9,510.8,9.53,0.0,172262.0,366.2,296.525,630.9 (±510.8),9.53 (±0.0),366.2 (±296.525)
Total,Silistra,Significant Increase,20.1,17.4,750.2,650.3,37.32,0.03,108018.0,694.5,602.029,750.2 (±650.3),37.32 (±0.03),694.5 (±602.029)
Total,Sliven,Significant Increase,152.39999999999998,94.4,1131.0,661.9000000000001,7.42,0.16,184119.0,614.3,359.496,1131.0 (±661.9),7.42 (±0.16),614.3 (±359.496)
Total,Smolyan,Significant Increase,75.8,37.9,751.9,376.0,9.92,0.0,103532.0,726.2,363.173,751.9 (±376.0),9.92 (±0.0),726.2 (±363.173)
Total,Sofia,Significant Increase,157.7,115.5,1236.7,833.7,7.84,0.26,226671.0,545.6,367.802,1236.7 (±833.7),7.84 (±0.26),545.6 (±367.802)
Total,Sofia (stolitsa),Significant Increase,374.29999999999995,234.6,2979.0,1861.6,7.96,0.01,1328790.0,224.2,140.097,2979.0 (±1861.6),7.96 (±0.01),224.2 (±140.097)
Total,Stara Zagora,Significant Increase,350.8,211.8,3442.2,2009.4,9.81,0.12,313396.0,1098.4,641.17,3442.2 (±2009.4),9.81 (±0.12),1098.4 (±641.17)
Total,Varna,Significant Increase,405.3,278.3,3617.3,2438.3999999999996,8.92,0.06,469885.0,769.8,518.935,3617.3 (±2438.4),8.92 (±0.06),769.8 (±518.935)
Total,Veliko Tarnovo,Significant Increase,166.3,110.6,2057.2,1467.1,12.37,0.36,232568.0,884.6,630.826,2057.2 (±1467.1),12.37 (±0.36),884.6 (±630.826)
Total,Vidin,Significant Increase,67.30000000000001,52.900000000000006,574.1,471.1,8.53,0.17,82835.0,693.1,568.721,574.1 (±471.1),8.53 (±0.17),693.1 (±568.721)
Total,Vratsa,Significant Increase,98.4,50.5,893.5,458.5,9.08,0.0,159470.0,560.3,287.515,893.5 (±458.5),9.08 (±0.0),560.3 (±287.515)
Total,Yambol,Significant Increase,97.0,77.9,1067.1,853.5,11.0,0.02,117335.0,909.4,727.404,1067.1 (±853.5),11.0 (±0.02),909.4 (±727.404)
