Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Total,(20-24),0.1,6,5.9,3.5,1.7,Not Significant,6.9,-6.8,7.0,5900.0,5914.3,0.1 (±6.9),5.9 (±6.9),5900.0% (±5914.3%)
Blagoevgrad,Total,(25-29),8.8,8,-0.8,3.8,-0.2,Not Significant,7.5,1.3,16.3,-9.1,41.8,8.8 (±7.5),-0.8 (±7.5),-9.1% (±41.8%)
Blagoevgrad,Total,(30-34),11.9,17,5.1,6.4,0.8,Not Significant,12.6,-0.7,24.5,42.9,73.5,11.9 (±12.6),5.1 (±12.6),42.9% (±73.5%)
Blagoevgrad,Total,(35-39),15.7,26,10.3,7.6,1.4,Not Significant,14.8,0.9,30.5,65.6,80.4,15.7 (±14.8),10.3 (±14.8),65.6% (±80.4%)
Blagoevgrad,Total,(40-44),46.3,58,11.7,8.8,1.3,Not Significant,17.2,29.1,63.5,25.3,34.0,46.3 (±17.2),11.7 (±17.2),25.3% (±34.0%)
Blagoevgrad,Total,(45-49),66.5,67,0.5,13.1,0.0,Not Significant,25.6,40.9,92.1,0.8,28.1,66.5 (±25.6),0.5 (±25.6),0.8% (±28.1%)
Blagoevgrad,Total,(5-9),0.8,2,1.2,1.7,0.7,Not Significant,3.4,-2.6,4.2,150.0,202.4,0.8 (±3.4),1.2 (±3.4),150.0% (±202.4%)
Blagoevgrad,Total,(50-54),126.9,133,6.1,16.0,0.4,Not Significant,31.4,95.5,158.3,4.8,20.8,126.9 (±31.4),6.1 (±31.4),4.8% (±20.8%)
Blagoevgrad,Total,(55-59),181.6,250,68.4,18.9,3.6,Significant Increase,37.1,144.5,218.7,37.7,23.4,181.6 (±37.1),68.4 (±37.1),37.7% (±23.4%)
Blagoevgrad,Total,(60-64),238.0,354,116.0,25.3,4.6,Significant Increase,49.5,188.5,287.5,48.7,25.6,238.0 (±49.5),116.0 (±49.5),48.7% (±25.6%)
Blagoevgrad,Total,(65-69),348.3,445,96.7,28.0,3.5,Significant Increase,54.9,293.4,403.2,27.8,17.4,348.3 (±54.9),96.7 (±54.9),27.8% (±17.4%)
Blagoevgrad,Total,(70-74),413.7,522,108.3,26.6,4.1,Significant Increase,52.2,361.5,465.9,26.2,14.2,413.7 (±52.2),108.3 (±52.2),26.2% (±14.2%)
Blagoevgrad,Total,(75-79),477.4,645,167.6,33.4,5.0,Significant Increase,65.5,411.9,542.9,35.1,16.3,477.4 (±65.5),167.6 (±65.5),35.1% (±16.3%)
Blagoevgrad,Total,(80-84),524.8,679,154.2,36.5,4.2,Significant Increase,71.5,453.3,596.3,29.4,15.5,524.8 (±71.5),154.2 (±71.5),29.4% (±15.5%)
Blagoevgrad,Total,(85-89),533.2,663,129.8,28.4,4.6,Significant Increase,55.7,477.5,588.9,24.3,11.7,533.2 (±55.7),129.8 (±55.7),24.3% (±11.7%)
Blagoevgrad,Total,(90+),285.1,321,35.9,24.7,1.5,Not Significant,48.3,236.8,333.4,12.6,16.3,285.1 (±48.3),35.9 (±48.3),12.6% (±16.3%)
Burgas,Female,(0-4),4.1,16,11.9,4.8,2.5,Significant Increase,9.5,-5.4,13.6,290.2,272.6,4.1 (±9.5),11.9 (±9.5),290.2% (±272.6%)
Burgas,Female,(10-14),1.5,0,-1.5,1.6,-0.9,Not Significant,3.1,-1.6,4.6,-100.0,0.0,1.5 (±3.1),-1.5 (±3.1),-100.0% (±0.0%)
Burgas,Female,(15-19),4.2,1,-3.2,3.0,-1.1,Not Significant,5.8,-1.6,10.0,-76.2,13.8,4.2 (±5.8),-3.2 (±5.8),-76.2% (±13.8%)
Burgas,Female,(20-24),-1.6,2,3.6,2.5,1.5,Not Significant,4.8,-6.4,3.2,-225.0,-187.5,-1.6 (±4.8),3.6 (±4.8),-225.0% (±-187.5%)
Burgas,Female,(25-29),4.4,2,-2.4,2.9,-0.8,Not Significant,5.8,-1.4,10.2,-54.5,25.9,4.4 (±5.8),-2.4 (±5.8),-54.5% (±25.9%)
Burgas,Female,(30-34),6.8,5,-1.8,3.5,-0.5,Not Significant,6.9,-0.1,13.7,-26.5,37.0,6.8 (±6.9),-1.8 (±6.9),-26.5% (±37.0%)
Burgas,Female,(35-39),12.1,12,-0.1,5.4,-0.0,Not Significant,10.5,1.6,22.6,-0.8,46.1,12.1 (±10.5),-0.1 (±10.5),-0.8% (±46.1%)
Burgas,Female,(40-44),26.9,30,3.1,6.9,0.5,Not Significant,13.5,13.4,40.4,11.5,37.2,26.9 (±13.5),3.1 (±13.5),11.5% (±37.2%)
Burgas,Female,(45-49),38.6,43,4.4,8.2,0.5,Not Significant,16.1,22.5,54.7,11.4,32.8,38.6 (±16.1),4.4 (±16.1),11.4% (±32.8%)
Burgas,Female,(5-9),2.2,1,-1.2,1.4,-0.9,Not Significant,2.7,-0.5,4.9,-54.5,25.1,2.2 (±2.7),-1.2 (±2.7),-54.5% (±25.1%)
Burgas,Female,(50-54),45.2,54,8.8,9.7,0.9,Not Significant,19.0,26.2,64.2,19.5,35.4,45.2 (±19.0),8.8 (±19.0),19.5% (±35.4%)
Burgas,Female,(55-59),57.7,93,35.3,13.9,2.5,Significant Increase,27.1,30.6,84.8,61.2,51.5,57.7 (±27.1),35.3 (±27.1),61.2% (±51.5%)
Burgas,Female,(60-64),129.0,131,2.0,16.3,0.1,Not Significant,31.9,97.1,160.9,1.6,20.2,129.0 (±31.9),2.0 (±31.9),1.6% (±20.2%)
Burgas,Female,(65-69),171.1,187,15.9,18.1,0.9,Not Significant,35.4,135.7,206.5,9.3,18.7,171.1 (±35.4),15.9 (±35.4),9.3% (±18.7%)
Burgas,Female,(70-74),231.8,326,94.2,22.3,4.2,Significant Increase,43.7,188.1,275.5,40.6,22.3,231.8 (±43.7),94.2 (±43.7),40.6% (±22.3%)
Burgas,Female,(75-79),311.6,334,22.4,23.6,0.9,Not Significant,46.3,265.3,357.9,7.2,13.9,311.6 (±46.3),22.4 (±46.3),7.2% (±13.9%)
Burgas,Female,(80-84),394.2,473,78.8,30.0,2.6,Significant Increase,58.8,335.4,453.0,20.0,15.6,394.2 (±58.8),78.8 (±58.8),20.0% (±15.6%)
Burgas,Female,(85-89),436.1,459,22.9,28.7,0.8,Not Significant,56.3,379.8,492.4,5.3,12.1,436.1 (±56.3),22.9 (±56.3),5.3% (±12.1%)
Burgas,Female,(90+),327.8,278,-49.8,24.8,-2.0,Significant Decrease,48.6,279.2,376.4,-15.2,10.9,327.8 (±48.6),-49.8 (±48.6),-15.2% (±10.9%)
Burgas,Male,(0-4),16.1,10,-6.1,5.2,-1.2,Not Significant,10.3,5.8,26.4,-37.9,24.2,16.1 (±10.3),-6.1 (±10.3),-37.9% (±24.2%)
Burgas,Male,(10-14),3.4,3,-0.4,2.2,-0.2,Not Significant,4.3,-0.9,7.7,-11.8,49.2,3.4 (±4.3),-0.4 (±4.3),-11.8% (±49.2%)
Burgas,Male,(15-19),3.2,6,2.8,3.3,0.8,Not Significant,6.5,-3.3,9.7,87.5,125.6,3.2 (±6.5),2.8 (±6.5),87.5% (±125.6%)
Burgas,Male,(20-24),11.0,8,-3.0,3.7,-0.8,Not Significant,7.3,3.7,18.3,-27.3,29.0,11.0 (±7.3),-3.0 (±7.3),-27.3% (±29.0%)
Burgas,Male,(25-29),10.7,6,-4.7,4.8,-1.0,Not Significant,9.4,1.3,20.1,-43.9,26.2,10.7 (±9.4),-4.7 (±9.4),-43.9% (±26.2%)
Burgas,Male,(30-34),12.9,18,5.1,5.4,0.9,Not Significant,10.6,2.3,23.5,39.5,62.9,12.9 (±10.6),5.1 (±10.6),39.5% (±62.9%)
Burgas,Male,(35-39),21.8,35,13.2,6.4,2.1,Significant Increase,12.5,9.3,34.3,60.6,58.6,21.8 (±12.5),13.2 (±12.5),60.6% (±58.6%)
Burgas,Male,(40-44),56.7,46,-10.7,10.4,-1.0,Not Significant,20.3,36.4,77.0,-18.9,21.4,56.7 (±20.3),-10.7 (±20.3),-18.9% (±21.4%)
Burgas,Male,(45-49),77.4,80,2.6,12.2,0.2,Not Significant,23.9,53.5,101.3,3.4,24.4,77.4 (±23.9),2.6 (±23.9),3.4% (±24.4%)
Burgas,Male,(5-9),4.1,2,-2.1,2.7,-0.8,Not Significant,5.2,-1.1,9.3,-51.2,27.3,4.1 (±5.2),-2.1 (±5.2),-51.2% (±27.3%)
Burgas,Male,(50-54),115.8,134,18.2,14.8,1.2,Not Significant,29.0,86.8,144.8,15.7,23.2,115.8 (±29.0),18.2 (±29.0),15.7% (±23.2%)
Burgas,Male,(55-59),172.1,175,2.9,19.1,0.2,Not Significant,37.4,134.7,209.5,1.7,18.2,172.1 (±37.4),2.9 (±37.4),1.7% (±18.2%)
Burgas,Male,(60-64),217.6,276,58.4,23.3,2.5,Significant Increase,45.8,171.8,263.4,26.8,22.0,217.6 (±45.8),58.4 (±45.8),26.8% (±22.0%)
Burgas,Male,(65-69),325.5,347,21.5,28.1,0.8,Not Significant,55.1,270.4,380.6,6.6,15.4,325.5 (±55.1),21.5 (±55.1),6.6% (±15.4%)
Burgas,Male,(70-74),376.7,441,64.3,24.9,2.6,Significant Increase,48.8,327.9,425.5,17.1,13.5,376.7 (±48.8),64.3 (±48.8),17.1% (±13.5%)
Burgas,Male,(75-79),338.6,395,56.4,24.2,2.3,Significant Increase,47.5,291.1,386.1,16.7,14.4,338.6 (±47.5),56.4 (±47.5),16.7% (±14.4%)
Burgas,Male,(80-84),310.6,371,60.4,24.6,2.5,Significant Increase,48.1,262.5,358.7,19.4,16.0,310.6 (±48.1),60.4 (±48.1),19.4% (±16.0%)
Burgas,Male,(85-89),252.1,279,26.9,27.2,1.0,Not Significant,53.4,198.7,305.5,10.7,19.4,252.1 (±53.4),26.9 (±53.4),10.7% (±19.4%)
Burgas,Male,(90+),151.7,164,12.3,16.3,0.8,Not Significant,31.9,119.8,183.6,8.1,18.8,151.7 (±31.9),12.3 (±31.9),8.1% (±18.8%)
Burgas,Total,(0-4),20.2,26,5.8,7.0,0.8,Not Significant,13.7,6.5,33.9,28.7,52.0,20.2 (±13.7),5.8 (±13.7),28.7% (±52.0%)
Burgas,Total,(10-14),4.9,3,-1.9,2.6,-0.7,Not Significant,5.2,-0.3,10.1,-38.8,31.5,4.9 (±5.2),-1.9 (±5.2),-38.8% (±31.5%)
Burgas,Total,(15-19),7.4,7,-0.4,4.3,-0.1,Not Significant,8.4,-1.0,15.8,-5.4,50.3,7.4 (±8.4),-0.4 (±8.4),-5.4% (±50.3%)
Burgas,Total,(20-24),9.4,10,0.6,4.1,0.1,Not Significant,8.1,1.3,17.5,6.4,49.3,9.4 (±8.1),0.6 (±8.1),6.4% (±49.3%)
Burgas,Total,(25-29),15.1,8,-7.1,5.7,-1.2,Not Significant,11.2,3.9,26.3,-47.0,22.6,15.1 (±11.2),-7.1 (±11.2),-47.0% (±22.6%)
Burgas,Total,(30-34),19.7,23,3.3,6.5,0.5,Not Significant,12.8,6.9,32.5,16.8,46.0,19.7 (±12.8),3.3 (±12.8),16.8% (±46.0%)
Burgas,Total,(35-39),33.9,47,13.1,8.6,1.5,Not Significant,16.9,17.0,50.8,38.6,46.1,33.9 (±16.9),13.1 (±16.9),38.6% (±46.1%)
Burgas,Total,(40-44),83.6,76,-7.6,12.9,-0.6,Not Significant,25.3,58.3,108.9,-9.1,21.1,83.6 (±25.3),-7.6 (±25.3),-9.1% (±21.1%)
Burgas,Total,(45-49),116.0,123,7.0,15.1,0.5,Not Significant,29.7,86.3,145.7,6.0,21.6,116.0 (±29.7),7.0 (±29.7),6.0% (±21.6%)
Burgas,Total,(5-9),6.3,3,-3.3,3.0,-1.1,Not Significant,5.9,0.4,12.2,-52.4,23.0,6.3 (±5.9),-3.3 (±5.9),-52.4% (±23.0%)
Burgas,Total,(50-54),161.0,188,27.0,17.2,1.6,Not Significant,33.7,127.3,194.7,16.8,20.2,161.0 (±33.7),27.0 (±33.7),16.8% (±20.2%)
Burgas,Total,(55-59),229.8,268,38.2,24.7,1.5,Not Significant,48.5,181.3,278.3,16.6,20.3,229.8 (±48.5),38.2 (±48.5),16.6% (±20.3%)
Burgas,Total,(60-64),346.6,407,60.4,29.1,2.1,Significant Increase,57.1,289.5,403.7,17.4,16.6,346.6 (±57.1),60.4 (±57.1),17.4% (±16.6%)
Burgas,Total,(65-69),496.6,534,37.4,33.4,1.1,Not Significant,65.4,431.2,562.0,7.5,12.5,496.6 (±65.4),37.4 (±65.4),7.5% (±12.5%)
Burgas,Total,(70-74),608.5,767,158.5,33.9,4.7,Significant Increase,66.4,542.1,674.9,26.0,12.4,608.5 (±66.4),158.5 (±66.4),26.0% (±12.4%)
Burgas,Total,(75-79),650.2,729,78.8,36.2,2.2,Significant Increase,71.0,579.2,721.2,12.1,11.0,650.2 (±71.0),78.8 (±71.0),12.1% (±11.0%)
Burgas,Total,(80-84),704.8,844,139.2,40.3,3.5,Significant Increase,79.0,625.8,783.8,19.8,12.1,704.8 (±79.0),139.2 (±79.0),19.8% (±12.1%)
Burgas,Total,(85-89),688.2,738,49.8,40.3,1.2,Not Significant,78.9,609.3,767.1,7.2,11.0,688.2 (±78.9),49.8 (±78.9),7.2% (±11.0%)
Burgas,Total,(90+),479.5,442,-37.5,29.5,-1.3,Not Significant,57.8,421.7,537.3,-7.8,9.9,479.5 (±57.8),-37.5 (±57.8),-7.8% (±9.9%)
Dobrich,Female,(0-4),5.2,7,1.8,3.0,0.6,Not Significant,6.0,-0.8,11.2,34.6,72.1,5.2 (±6.0),1.8 (±6.0),34.6% (±72.1%)
Dobrich,Female,(10-14),-0.8,2,2.8,0.9,3.1,Significant Increase,1.8,-2.6,1.0,-350.0,-450.0,-0.8 (±1.8),2.8 (±1.8),-350.0% (±-450.0%)
Dobrich,Female,(15-19),0.4,0,-0.4,1.4,-0.3,Not Significant,2.7,-2.3,3.1,-100.0,0.0,0.4 (±2.7),-0.4 (±2.7),-100.0% (±0.0%)
Dobrich,Female,(20-24),0.1,4,3.9,1.4,2.8,Significant Increase,2.7,-2.6,2.8,3900.0,3857.1,0.1 (±2.7),3.9 (±2.7),3900.0% (±3857.1%)
Dobrich,Female,(25-29),0.4,2,1.6,1.8,0.9,Not Significant,3.5,-3.1,3.9,400.0,448.7,0.4 (±3.5),1.6 (±3.5),400.0% (±448.7%)
Dobrich,Female,(30-34),2.2,3,0.8,2.6,0.3,Not Significant,5.0,-2.8,7.2,36.4,94.7,2.2 (±5.0),0.8 (±5.0),36.4% (±94.7%)
Dobrich,Female,(35-39),12.0,5,-7.0,3.4,-2.1,Significant Decrease,6.7,5.3,18.7,-58.3,15.0,12.0 (±6.7),-7.0 (±6.7),-58.3% (±15.0%)
Dobrich,Female,(40-44),10.9,16,5.1,4.6,1.1,Not Significant,9.1,1.8,20.0,46.8,66.8,10.9 (±9.1),5.1 (±9.1),46.8% (±66.8%)
Dobrich,Female,(45-49),13.4,16,2.6,5.6,0.5,Not Significant,10.9,2.5,24.3,19.4,53.6,13.4 (±10.9),2.6 (±10.9),19.4% (±53.6%)
Dobrich,Female,(5-9),-0.4,0,0.4,0.6,0.6,Not Significant,1.3,-1.7,0.9,-100.0,0.0,-0.4 (±1.3),0.4 (±1.3),-100.0% (±0.0%)
Dobrich,Female,(50-54),29.3,33,3.7,7.4,0.5,Not Significant,14.5,14.8,43.8,12.6,37.3,29.3 (±14.5),3.7 (±14.5),12.6% (±37.3%)
Dobrich,Female,(55-59),37.9,57,19.1,9.4,2.0,Significant Increase,18.4,19.5,56.3,50.4,49.2,37.9 (±18.4),19.1 (±18.4),50.4% (±49.2%)
Dobrich,Female,(60-64),51.8,83,31.2,10.6,2.9,Significant Increase,20.8,31.0,72.6,60.2,45.9,51.8 (±20.8),31.2 (±20.8),60.2% (±45.9%)
Dobrich,Female,(65-69),90.7,122,31.3,14.9,2.1,Significant Increase,29.2,61.5,119.9,34.5,32.7,90.7 (±29.2),31.3 (±29.2),34.5% (±32.7%)
Dobrich,Female,(70-74),146.2,164,17.8,15.9,1.1,Not Significant,31.2,115.0,177.4,12.2,19.8,146.2 (±31.2),17.8 (±31.2),12.2% (±19.8%)
Dobrich,Female,(75-79),174.7,218,43.3,20.9,2.1,Significant Increase,40.9,133.8,215.6,24.8,23.7,174.7 (±40.9),43.3 (±40.9),24.8% (±23.7%)
Dobrich,Female,(80-84),214.6,217,2.4,22.7,0.1,Not Significant,44.5,170.1,259.1,1.1,17.3,214.6 (±44.5),2.4 (±44.5),1.1% (±17.3%)
Dobrich,Female,(85-89),173.7,199,25.3,20.8,1.2,Not Significant,40.8,132.9,214.5,14.6,21.8,173.7 (±40.8),25.3 (±40.8),14.6% (±21.8%)
Dobrich,Female,(90+),109.2,122,12.8,15.0,0.9,Not Significant,29.4,79.8,138.6,11.7,23.7,109.2 (±29.4),12.8 (±29.4),11.7% (±23.7%)
Dobrich,Male,(0-4),6.7,2,-4.7,3.6,-1.3,Not Significant,7.1,-0.4,13.8,-70.1,15.4,6.7 (±7.1),-4.7 (±7.1),-70.1% (±15.4%)
Dobrich,Male,(10-14),-0.1,2,2.1,1.3,1.6,Not Significant,2.5,-2.6,2.4,-2100.0,-2083.3,-0.1 (±2.5),2.1 (±2.5),-2100.0% (±-2083.3%)
Dobrich,Male,(15-19),6.0,4,-2.0,3.2,-0.6,Not Significant,6.3,-0.3,12.3,-33.3,34.2,6.0 (±6.3),-2.0 (±6.3),-33.3% (±34.2%)
Dobrich,Male,(20-24),3.7,2,-1.7,2.9,-0.6,Not Significant,5.6,-1.9,9.3,-45.9,32.6,3.7 (±5.6),-1.7 (±5.6),-45.9% (±32.6%)
Dobrich,Male,(25-29),5.9,5,-0.9,3.8,-0.2,Not Significant,7.5,-1.6,13.4,-15.3,47.4,5.9 (±7.5),-0.9 (±7.5),-15.3% (±47.4%)
Dobrich,Male,(30-34),12.1,6,-6.1,4.3,-1.4,Not Significant,8.5,3.6,20.6,-50.4,20.5,12.1 (±8.5),-6.1 (±8.5),-50.4% (±20.5%)
Dobrich,Male,(35-39),15.3,15,-0.3,5.6,-0.1,Not Significant,11.0,4.3,26.3,-2.0,41.0,15.3 (±11.0),-0.3 (±11.0),-2.0% (±41.0%)
Dobrich,Male,(40-44),12.8,25,12.2,6.3,1.9,Not Significant,12.4,0.4,25.2,95.3,96.1,12.8 (±12.4),12.2 (±12.4),95.3% (±96.1%)
Dobrich,Male,(45-49),38.6,58,19.4,9.8,2.0,Significant Increase,19.2,19.4,57.8,50.3,50.0,38.6 (±19.2),19.4 (±19.2),50.3% (±50.0%)
Dobrich,Male,(5-9),1.8,0,-1.8,1.6,-1.1,Not Significant,3.1,-1.3,4.9,-100.0,0.0,1.8 (±3.1),-1.8 (±3.1),-100.0% (±0.0%)
Dobrich,Male,(50-54),50.7,59,8.3,10.6,0.8,Not Significant,20.7,30.0,71.4,16.4,33.8,50.7 (±20.7),8.3 (±20.7),16.4% (±33.8%)
Dobrich,Male,(55-59),95.5,111,15.5,13.1,1.2,Not Significant,25.6,69.9,121.1,16.2,24.5,95.5 (±25.6),15.5 (±25.6),16.2% (±24.5%)
Dobrich,Male,(60-64),119.3,137,17.7,17.6,1.0,Not Significant,34.6,84.7,153.9,14.8,25.8,119.3 (±34.6),17.7 (±34.6),14.8% (±25.8%)
Dobrich,Male,(65-69),194.4,185,-9.4,19.8,-0.5,Not Significant,38.8,155.6,233.2,-4.8,15.9,194.4 (±38.8),-9.4 (±38.8),-4.8% (±15.9%)
