Location,Sex,Age,Mean/Expected_Mortality,Mortality,Excess_mortality,STANDARD_DEVIATION,Z-Score(95%),SIGNIFICANT,Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Blagoevgrad,Male,(10-14),3.2,2,-1.2,2.4,-0.5,Not Significant,4.6,-1.4,7.8,-37.5,36.9,3.2 (±4.6),-1.2 (±4.6),-37.5% (±36.9%)
Blagoevgrad,Male,(15-19),-0.4,0,0.4,3.2,0.1,Not Significant,6.4,-6.8,6.0,-100.0,0.0,-0.4 (±6.4),0.4 (±6.4),-100.0% (±0.0%)
Blagoevgrad,Male,(20-24),-2.8,8,10.8,4.4,2.5,Significant Increase,8.5,-11.3,5.7,-385.7,-426.1,-2.8 (±8.5),10.8 (±8.5),-385.7% (±-426.1%)
Blagoevgrad,Male,(25-29),8.8,5,-3.8,4.0,-0.9,Not Significant,7.9,0.9,16.7,-43.2,26.9,8.8 (±7.9),-3.8 (±7.9),-43.2% (±26.9%)
Blagoevgrad,Male,(30-34),9.0,16,7.0,6.3,1.1,Not Significant,12.4,-3.4,21.4,77.8,103.0,9.0 (±12.4),7.0 (±12.4),77.8% (±103.0%)
Blagoevgrad,Male,(35-39),19.8,24,4.2,7.6,0.6,Not Significant,14.8,5.0,34.6,21.2,51.8,19.8 (±14.8),4.2 (±14.8),21.2% (±51.8%)
Blagoevgrad,Male,(40-44),45.8,49,3.2,10.0,0.3,Not Significant,19.6,26.2,65.4,7.0,32.1,45.8 (±19.6),3.2 (±19.6),7.0% (±32.1%)
Blagoevgrad,Male,(45-49),58.0,92,34.0,13.7,2.5,Significant Increase,26.9,31.1,84.9,58.6,50.2,58.0 (±26.9),34.0 (±26.9),58.6% (±50.2%)
Blagoevgrad,Male,(5-9),1.2,3,1.8,2.1,0.8,Not Significant,4.2,-3.0,5.4,150.0,194.4,1.2 (±4.2),1.8 (±4.2),150.0% (±194.4%)
Blagoevgrad,Male,(50-54),102.2,131,28.8,16.9,1.7,Not Significant,33.0,69.2,135.2,28.2,31.3,102.2 (±33.0),28.8 (±33.0),28.2% (±31.3%)
Blagoevgrad,Male,(55-59),156.2,212,55.8,20.6,2.7,Significant Increase,40.3,115.9,196.5,35.7,27.8,156.2 (±40.3),55.8 (±40.3),35.7% (±27.8%)
Blagoevgrad,Male,(60-64),205.2,325,119.8,26.0,4.6,Significant Increase,50.9,154.3,256.1,58.4,31.5,205.2 (±50.9),119.8 (±50.9),58.4% (±31.5%)
Blagoevgrad,Male,(65-69),297.6,410,112.4,28.9,3.9,Significant Increase,56.6,241.0,354.2,37.8,22.0,297.6 (±56.6),112.4 (±56.6),37.8% (±22.0%)
Blagoevgrad,Male,(70-74),317.0,502,185.0,28.8,6.4,Significant Increase,56.5,260.5,373.5,58.4,24.0,317.0 (±56.5),185.0 (±56.5),58.4% (±24.0%)
Blagoevgrad,Male,(75-79),327.0,446,119.0,29.5,4.0,Significant Increase,57.9,269.1,384.9,36.4,20.5,327.0 (±57.9),119.0 (±57.9),36.4% (±20.5%)
Blagoevgrad,Male,(80-84),255.8,484,228.2,31.2,7.3,Significant Increase,61.1,194.7,316.9,89.2,36.5,255.8 (±61.1),228.2 (±61.1),89.2% (±36.5%)
Blagoevgrad,Male,(85-89),278.4,315,36.6,24.7,1.5,Not Significant,48.4,230.0,326.8,13.1,16.7,278.4 (±48.4),36.6 (±48.4),13.1% (±16.7%)
Blagoevgrad,Male,(90+),128.8,171,42.2,17.4,2.4,Significant Increase,34.2,94.6,163.0,32.8,27.9,128.8 (±34.2),42.2 (±34.2),32.8% (±27.9%)
Blagoevgrad,Total,(0-4),6.4,9,2.6,6.9,0.4,Not Significant,13.5,-7.1,19.9,40.6,95.4,6.4 (±13.5),2.6 (±13.5),40.6% (±95.4%)
Blagoevgrad,Total,(10-14),3.4,2,-1.4,2.7,-0.5,Not Significant,5.3,-1.9,8.7,-41.2,35.8,3.4 (±5.3),-1.4 (±5.3),-41.2% (±35.8%)
Blagoevgrad,Total,(15-19),-0.2,1,1.2,3.8,0.3,Not Significant,7.5,-7.7,7.3,-600.0,-513.7,-0.2 (±7.5),1.2 (±7.5),-600.0% (±-513.7%)
Blagoevgrad,Total,(20-24),-2.0,13,15.0,4.7,3.2,Significant Increase,9.1,-11.1,7.1,-750.0,-833.1,-2.0 (±9.1),15.0 (±9.1),-750.0% (±-833.1%)
Blagoevgrad,Total,(25-29),13.6,9,-4.6,5.2,-0.9,Not Significant,10.2,3.4,23.8,-33.8,28.4,13.6 (±10.2),-4.6 (±10.2),-33.8% (±28.4%)
Blagoevgrad,Total,(30-34),13.6,19,5.4,7.9,0.7,Not Significant,15.6,-2.0,29.2,39.7,74.6,13.6 (±15.6),5.4 (±15.6),39.7% (±74.6%)
Blagoevgrad,Total,(35-39),22.2,33,10.8,9.5,1.1,Not Significant,18.6,3.6,40.8,48.6,67.7,22.2 (±18.6),10.8 (±18.6),48.6% (±67.7%)
Blagoevgrad,Total,(40-44),49.8,67,17.2,11.3,1.5,Not Significant,22.2,27.6,72.0,34.5,41.4,49.8 (±22.2),17.2 (±22.2),34.5% (±41.4%)
Blagoevgrad,Total,(45-49),79.0,127,48.0,16.7,2.9,Significant Increase,32.6,46.4,111.6,60.8,47.0,79.0 (±32.6),48.0 (±32.6),60.8% (±47.0%)
Blagoevgrad,Total,(5-9),0.4,3,2.6,2.8,0.9,Not Significant,5.5,-5.1,5.9,650.0,699.2,0.4 (±5.5),2.6 (±5.5),650.0% (±699.2%)
Blagoevgrad,Total,(50-54),155.6,190,34.4,20.0,1.7,Not Significant,39.2,116.4,194.8,22.1,24.6,155.6 (±39.2),34.4 (±39.2),22.1% (±24.6%)
Blagoevgrad,Total,(55-59),230.2,322,91.8,25.1,3.7,Significant Increase,49.2,181.0,279.4,39.9,24.7,230.2 (±49.2),91.8 (±49.2),39.9% (±24.7%)
Blagoevgrad,Total,(60-64),301.2,470,168.8,32.1,5.3,Significant Increase,62.9,238.3,364.1,56.0,26.9,301.2 (±62.9),168.8 (±62.9),56.0% (±26.9%)
Blagoevgrad,Total,(65-69),429.8,638,208.2,36.0,5.8,Significant Increase,70.5,359.3,500.3,48.4,20.9,429.8 (±70.5),208.2 (±70.5),48.4% (±20.9%)
Blagoevgrad,Total,(70-74),509.2,809,299.8,35.8,8.4,Significant Increase,70.1,439.1,579.3,58.9,19.2,509.2 (±70.1),299.8 (±70.1),58.9% (±19.2%)
Blagoevgrad,Total,(75-79),605.8,873,267.2,42.7,6.3,Significant Increase,83.7,522.1,689.5,44.1,17.5,605.8 (±83.7),267.2 (±83.7),44.1% (±17.5%)
Blagoevgrad,Total,(80-84),660.4,1007,346.6,47.3,7.3,Significant Increase,92.7,567.7,753.1,52.5,18.8,660.4 (±92.7),346.6 (±92.7),52.5% (±18.8%)
Blagoevgrad,Total,(85-89),688.4,853,164.6,38.1,4.3,Significant Increase,74.8,613.6,763.2,23.9,12.1,688.4 (±74.8),164.6 (±74.8),23.9% (±12.1%)
Blagoevgrad,Total,(90+),375.2,455,79.8,33.9,2.4,Significant Increase,66.4,308.8,441.6,21.3,18.3,375.2 (±66.4),79.8 (±66.4),21.3% (±18.3%)
Burgas,Female,(0-4),3.6,20,16.4,6.0,2.7,Significant Increase,11.8,-8.2,15.4,455.6,425.7,3.6 (±11.8),16.4 (±11.8),455.6% (±425.7%)
Burgas,Female,(10-14),1.8,1,-0.8,2.0,-0.4,Not Significant,3.9,-2.1,5.7,-44.4,38.1,1.8 (±3.9),-0.8 (±3.9),-44.4% (±38.1%)
Burgas,Female,(15-19),3.6,6,2.4,3.6,0.7,Not Significant,7.1,-3.5,10.7,66.7,110.6,3.6 (±7.1),2.4 (±7.1),66.7% (±110.6%)
Burgas,Female,(20-24),-3.8,2,5.8,3.0,1.9,Not Significant,5.9,-9.7,2.1,-152.6,-147.8,-3.8 (±5.9),5.8 (±5.9),-152.6% (±-147.8%)
Burgas,Female,(25-29),5.8,8,2.2,3.9,0.6,Not Significant,7.7,-1.9,13.5,37.9,78.6,5.8 (±7.7),2.2 (±7.7),37.9% (±78.6%)
Burgas,Female,(30-34),7.2,14,6.8,4.4,1.5,Not Significant,8.6,-1.4,15.8,94.4,105.8,7.2 (±8.6),6.8 (±8.6),94.4% (±105.8%)
Burgas,Female,(35-39),19.6,18,-1.6,7.0,-0.2,Not Significant,13.7,5.9,33.3,-8.2,37.7,19.6 (±13.7),-1.6 (±13.7),-8.2% (±37.7%)
Burgas,Female,(40-44),35.6,33,-2.6,8.5,-0.3,Not Significant,16.7,18.9,52.3,-7.3,29.6,35.6 (±16.7),-2.6 (±16.7),-7.3% (±29.6%)
Burgas,Female,(45-49),43.8,63,19.2,10.6,1.8,Not Significant,20.8,23.0,64.6,43.8,46.3,43.8 (±20.8),19.2 (±20.8),43.8% (±46.3%)
Burgas,Female,(5-9),2.0,3,1.0,1.8,0.6,Not Significant,3.4,-1.4,5.4,50.0,94.4,2.0 (±3.4),1.0 (±3.4),50.0% (±94.4%)
Burgas,Female,(50-54),48.0,79,31.0,11.9,2.6,Significant Increase,23.3,24.7,71.3,64.6,53.8,48.0 (±23.3),31.0 (±23.3),64.6% (±53.8%)
Burgas,Female,(55-59),79.8,134,54.2,17.8,3.1,Significant Increase,34.8,45.0,114.6,67.9,51.0,79.8 (±34.8),54.2 (±34.8),67.9% (±51.0%)
Burgas,Female,(60-64),154.6,190,35.4,20.6,1.7,Not Significant,40.3,114.3,194.9,22.9,25.4,154.6 (±40.3),35.4 (±40.3),22.9% (±25.4%)
Burgas,Female,(65-69),214.8,321,106.2,24.2,4.4,Significant Increase,47.5,167.3,262.3,49.4,27.0,214.8 (±47.5),106.2 (±47.5),49.4% (±27.0%)
Burgas,Female,(70-74),295.2,459,163.8,27.5,5.9,Significant Increase,54.0,241.2,349.2,55.5,24.1,295.2 (±54.0),163.8 (±54.0),55.5% (±24.1%)
Burgas,Female,(75-79),383.2,542,158.8,31.7,5.0,Significant Increase,62.1,321.1,445.3,41.4,19.7,383.2 (±62.1),158.8 (±62.1),41.4% (±19.7%)
Burgas,Female,(80-84),472.8,683,210.2,39.6,5.3,Significant Increase,77.6,395.2,550.4,44.5,20.4,472.8 (±77.6),210.2 (±77.6),44.5% (±20.4%)
Burgas,Female,(85-89),539.6,640,100.4,37.3,2.7,Significant Increase,73.2,466.4,612.8,18.6,14.2,539.6 (±73.2),100.4 (±73.2),18.6% (±14.2%)
Burgas,Female,(90+),429.8,434,4.2,32.2,0.1,Not Significant,63.0,366.8,492.8,1.0,12.9,429.8 (±63.0),4.2 (±63.0),1.0% (±12.9%)
Burgas,Male,(0-4),18.2,13,-5.2,6.6,-0.8,Not Significant,12.9,5.3,31.1,-28.6,29.6,18.2 (±12.9),-5.2 (±12.9),-28.6% (±29.6%)
Burgas,Male,(10-14),4.0,3,-1.0,2.6,-0.4,Not Significant,5.2,-1.2,9.2,-25.0,42.4,4.0 (±5.2),-1.0 (±5.2),-25.0% (±42.4%)
Burgas,Male,(15-19),3.0,5,2.0,4.0,0.5,Not Significant,7.9,-4.9,10.9,66.7,120.8,3.0 (±7.9),2.0 (±7.9),66.7% (±120.8%)
Burgas,Male,(20-24),13.4,10,-3.4,4.6,-0.7,Not Significant,9.1,4.3,22.5,-25.4,30.2,13.4 (±9.1),-3.4 (±9.1),-25.4% (±30.2%)
Burgas,Male,(25-29),14.4,15,0.6,6.0,0.1,Not Significant,11.8,2.6,26.2,4.2,46.9,14.4 (±11.8),0.6 (±11.8),4.2% (±46.9%)
Burgas,Male,(30-34),11.4,25,13.6,6.8,2.0,Significant Increase,13.3,-1.9,24.7,119.3,118.1,11.4 (±13.3),13.6 (±13.3),119.3% (±118.1%)
Burgas,Male,(35-39),28.6,35,6.4,8.1,0.8,Not Significant,16.0,12.6,44.6,22.4,43.9,28.6 (±16.0),6.4 (±16.0),22.4% (±43.9%)
Burgas,Male,(40-44),70.2,59,-11.2,12.7,-0.9,Not Significant,25.0,45.2,95.2,-16.0,22.0,70.2 (±25.0),-11.2 (±25.0),-16.0% (±22.0%)
Burgas,Male,(45-49),98.0,127,29.0,15.4,1.9,Not Significant,30.2,67.8,128.2,29.6,30.5,98.0 (±30.2),29.0 (±30.2),29.6% (±30.5%)
Burgas,Male,(5-9),5.2,3,-2.2,3.2,-0.7,Not Significant,6.3,-1.1,11.5,-42.3,31.6,5.2 (±6.3),-2.2 (±6.3),-42.3% (±31.6%)
Burgas,Male,(50-54),138.0,171,33.0,20.0,1.7,Not Significant,39.1,98.9,177.1,23.9,27.3,138.0 (±39.1),33.0 (±39.1),23.9% (±27.3%)
Burgas,Male,(55-59),202.0,246,44.0,25.0,1.8,Not Significant,48.9,153.1,250.9,21.8,23.8,202.0 (±48.9),44.0 (±48.9),21.8% (±23.8%)
Burgas,Male,(60-64),262.2,387,124.8,29.8,4.2,Significant Increase,58.4,203.8,320.6,47.6,26.9,262.2 (±58.4),124.8 (±58.4),47.6% (±26.9%)
Burgas,Male,(65-69),411.4,557,145.6,37.0,3.9,Significant Increase,72.6,338.8,484.0,35.4,20.3,411.4 (±72.6),145.6 (±72.6),35.4% (±20.3%)
Burgas,Male,(70-74),474.6,655,180.4,32.5,5.6,Significant Increase,63.7,410.9,538.3,38.0,16.3,474.6 (±63.7),180.4 (±63.7),38.0% (±16.3%)
Burgas,Male,(75-79),416.8,576,159.2,31.3,5.1,Significant Increase,61.3,355.5,478.1,38.2,17.7,416.8 (±61.3),159.2 (±61.3),38.2% (±17.7%)
Burgas,Male,(80-84),370.8,506,135.2,35.3,3.8,Significant Increase,69.1,301.7,439.9,36.5,21.5,370.8 (±69.1),135.2 (±69.1),36.5% (±21.5%)
Burgas,Male,(85-89),318.0,387,69.0,34.9,2.0,Significant Increase,68.5,249.5,386.5,21.7,21.6,318.0 (±68.5),69.0 (±68.5),21.7% (±21.6%)
Burgas,Male,(90+),205.2,211,5.8,20.7,0.3,Not Significant,40.6,164.6,245.8,2.8,17.0,205.2 (±40.6),5.8 (±40.6),2.8% (±17.0%)
Burgas,Total,(0-4),21.8,33,11.2,8.7,1.3,Not Significant,17.0,4.8,38.8,51.4,66.3,21.8 (±17.0),11.2 (±17.0),51.4% (±66.3%)
Burgas,Total,(10-14),5.8,4,-1.8,3.2,-0.6,Not Significant,6.3,-0.5,12.1,-31.0,35.9,5.8 (±6.3),-1.8 (±6.3),-31.0% (±35.9%)
Burgas,Total,(15-19),6.6,11,4.4,5.2,0.8,Not Significant,10.2,-3.6,16.8,66.7,101.2,6.6 (±10.2),4.4 (±10.2),66.7% (±101.2%)
Burgas,Total,(20-24),9.6,12,2.4,5.2,0.5,Not Significant,10.3,-0.7,19.9,25.0,64.7,9.6 (±10.3),2.4 (±10.3),25.0% (±64.7%)
Burgas,Total,(25-29),20.2,23,2.8,7.1,0.4,Not Significant,14.0,6.2,34.2,13.9,46.6,20.2 (±14.0),2.8 (±14.0),13.9% (±46.6%)
Burgas,Total,(30-34),18.6,39,20.4,8.4,2.4,Significant Increase,16.4,2.2,35.0,109.7,98.3,18.6 (±16.4),20.4 (±16.4),109.7% (±98.3%)
Burgas,Total,(35-39),48.2,53,4.8,11.3,0.4,Not Significant,22.1,26.1,70.3,10.0,34.6,48.2 (±22.1),4.8 (±22.1),10.0% (±34.6%)
Burgas,Total,(40-44),105.8,92,-13.8,15.8,-0.9,Not Significant,30.9,74.9,136.7,-13.0,19.7,105.8 (±30.9),-13.8 (±30.9),-13.0% (±19.7%)
Burgas,Total,(45-49),141.8,190,48.2,18.9,2.6,Significant Increase,37.0,104.8,178.8,34.0,27.7,141.8 (±37.0),48.2 (±37.0),34.0% (±27.7%)
Burgas,Total,(5-9),7.2,6,-1.2,3.7,-0.3,Not Significant,7.2,-0.0,14.4,-16.7,41.6,7.2 (±7.2),-1.2 (±7.2),-16.7% (±41.6%)
Burgas,Total,(50-54),186.0,250,64.0,22.6,2.8,Significant Increase,44.2,141.8,230.2,34.4,25.8,186.0 (±44.2),64.0 (±44.2),34.4% (±25.8%)
Burgas,Total,(55-59),281.8,380,98.2,31.6,3.1,Significant Increase,61.9,219.9,343.7,34.8,24.2,281.8 (±61.9),98.2 (±61.9),34.8% (±24.2%)
Burgas,Total,(60-64),416.8,577,160.2,36.5,4.4,Significant Increase,71.4,345.4,488.2,38.4,20.2,416.8 (±71.4),160.2 (±71.4),38.4% (±20.2%)
Burgas,Total,(65-69),626.2,878,251.8,43.5,5.8,Significant Increase,85.3,540.9,711.5,40.2,16.8,626.2 (±85.3),251.8 (±85.3),40.2% (±16.8%)
Burgas,Total,(70-74),769.8,1114,344.2,43.5,7.9,Significant Increase,85.2,684.6,855.0,44.7,14.4,769.8 (±85.2),344.2 (±85.2),44.7% (±14.4%)
Burgas,Total,(75-79),800.0,1118,318.0,46.4,6.9,Significant Increase,90.9,709.1,890.9,39.8,14.3,800.0 (±90.9),318.0 (±90.9),39.8% (±14.3%)
Burgas,Total,(80-84),843.6,1189,345.4,53.5,6.5,Significant Increase,104.9,738.7,948.5,40.9,15.5,843.6 (±104.9),345.4 (±104.9),40.9% (±15.5%)
Burgas,Total,(85-89),857.6,1027,169.4,52.3,3.2,Significant Increase,102.4,755.2,960.0,19.8,12.8,857.6 (±102.4),169.4 (±102.4),19.8% (±12.8%)
Burgas,Total,(90+),635.0,645,10.0,37.5,0.3,Not Significant,73.4,561.6,708.4,1.6,10.5,635.0 (±73.4),10.0 (±73.4),1.6% (±10.5%)
Dobrich,Female,(0-4),7.2,4,-3.2,3.9,-0.8,Not Significant,7.7,-0.5,14.9,-44.4,28.8,7.2 (±7.7),-3.2 (±7.7),-44.4% (±28.8%)
Dobrich,Female,(10-14),-1.6,1,2.6,1.5,1.8,Not Significant,2.9,-4.5,1.3,-162.5,-139.4,-1.6 (±2.9),2.6 (±2.9),-162.5% (±-139.4%)
Dobrich,Female,(15-19),0.2,0,-0.2,1.6,-0.1,Not Significant,3.1,-2.9,3.3,-100.0,0.0,0.2 (±3.1),-0.2 (±3.1),-100.0% (±0.0%)
Dobrich,Female,(20-24),-0.2,1,1.2,1.6,0.8,Not Significant,3.1,-3.3,2.9,-600.0,-534.5,-0.2 (±3.1),1.2 (±3.1),-600.0% (±-534.5%)
Dobrich,Female,(25-29),0.6,4,3.4,2.2,1.6,Not Significant,4.3,-3.7,4.9,566.7,585.1,0.6 (±4.3),3.4 (±4.3),566.7% (±585.1%)
Dobrich,Female,(30-34),2.4,5,2.6,3.2,0.8,Not Significant,6.2,-3.8,8.6,108.3,150.2,2.4 (±6.2),2.6 (±6.2),108.3% (±150.2%)
Dobrich,Female,(35-39),15.6,5,-10.6,4.3,-2.5,Significant Decrease,8.4,7.2,24.0,-67.9,11.3,15.6 (±8.4),-10.6 (±8.4),-67.9% (±11.3%)
Dobrich,Female,(40-44),13.6,12,-1.6,6.1,-0.3,Not Significant,12.0,1.6,25.6,-11.8,41.3,13.6 (±12.0),-1.6 (±12.0),-11.8% (±41.3%)
Dobrich,Female,(45-49),17.6,37,19.4,7.3,2.7,Significant Increase,14.3,3.3,31.9,110.2,94.2,17.6 (±14.3),19.4 (±14.3),110.2% (±94.2%)
Dobrich,Female,(5-9),-0.2,1,1.2,1.3,0.9,Not Significant,2.5,-2.7,2.3,-600.0,-543.5,-0.2 (±2.5),1.2 (±2.5),-600.0% (±-543.5%)
Dobrich,Female,(50-54),41.6,50,8.4,9.7,0.9,Not Significant,19.0,22.6,60.6,20.2,37.7,41.6 (±19.0),8.4 (±19.0),20.2% (±37.7%)
Dobrich,Female,(55-59),48.2,83,34.8,11.8,3.0,Significant Increase,23.1,25.1,71.3,72.2,55.8,48.2 (±23.1),34.8 (±23.1),72.2% (±55.8%)
Dobrich,Female,(60-64),65.2,120,54.8,13.7,4.0,Significant Increase,26.9,38.3,92.1,84.0,53.7,65.2 (±26.9),54.8 (±26.9),84.0% (±53.7%)
Dobrich,Female,(65-69),97.6,189,91.4,17.9,5.1,Significant Increase,35.1,62.5,132.7,93.6,51.2,97.6 (±35.1),91.4 (±35.1),93.6% (±51.2%)
Dobrich,Female,(70-74),187.0,247,60.0,19.9,3.0,Significant Increase,39.0,148.0,226.0,32.1,22.8,187.0 (±39.0),60.0 (±39.0),32.1% (±22.8%)
Dobrich,Female,(75-79),226.0,328,102.0,26.6,3.8,Significant Increase,52.2,173.8,278.2,45.1,27.2,226.0 (±52.2),102.0 (±52.2),45.1% (±27.2%)
Dobrich,Female,(80-84),269.0,307,38.0,30.5,1.2,Not Significant,59.8,209.2,328.8,14.1,20.7,269.0 (±59.8),38.0 (±59.8),14.1% (±20.7%)
Dobrich,Female,(85-89),231.6,283,51.4,26.3,2.0,Not Significant,51.6,180.0,283.2,22.2,22.3,231.6 (±51.6),51.4 (±51.6),22.2% (±22.3%)
Dobrich,Female,(90+),142.0,168,26.0,19.5,1.3,Not Significant,38.2,103.8,180.2,18.3,25.1,142.0 (±38.2),26.0 (±38.2),18.3% (±25.1%)
Dobrich,Male,(0-4),7.8,6,-1.8,4.5,-0.4,Not Significant,8.8,-1.0,16.6,-23.1,40.8,7.8 (±8.8),-1.8 (±8.8),-23.1% (±40.8%)
Dobrich,Male,(10-14),-1.0,1,2.0,1.7,1.2,Not Significant,3.3,-4.3,2.3,-200.0,-143.5,-1.0 (±3.3),2.0 (±3.3),-200.0% (±-143.5%)
Dobrich,Male,(15-19),7.6,3,-4.6,4.1,-1.1,Not Significant,8.0,-0.4,15.6,-60.5,20.3,7.6 (±8.0),-4.6 (±8.0),-60.5% (±20.3%)
Dobrich,Male,(20-24),4.2,6,1.8,3.4,0.5,Not Significant,6.7,-2.5,10.9,42.9,87.9,4.2 (±6.7),1.8 (±6.7),42.9% (±87.9%)
Dobrich,Male,(25-29),5.4,9,3.6,4.7,0.8,Not Significant,9.2,-3.8,14.6,66.7,105.1,5.4 (±9.2),3.6 (±9.2),66.7% (±105.1%)
Dobrich,Male,(30-34),12.0,9,-3.0,5.1,-0.6,Not Significant,9.9,2.1,21.9,-25.0,33.9,12.0 (±9.9),-3.0 (±9.9),-25.0% (±33.9%)
Dobrich,Male,(35-39),16.2,20,3.8,7.1,0.5,Not Significant,13.8,2.4,30.0,23.5,56.8,16.2 (±13.8),3.8 (±13.8),23.5% (±56.8%)
Dobrich,Male,(40-44),18.2,35,16.8,8.3,2.0,Significant Increase,16.2,2.0,34.4,92.3,90.6,18.2 (±16.2),16.8 (±16.2),92.3% (±90.6%)
Dobrich,Male,(45-49),53.0,56,3.0,12.2,0.2,Not Significant,23.9,29.1,76.9,5.7,32.9,53.0 (±23.9),3.0 (±23.9),5.7% (±32.9%)
Dobrich,Male,(5-9),1.4,0,-1.4,2.0,-0.7,Not Significant,3.9,-2.5,5.3,-100.0,0.0,1.4 (±3.9),-1.4 (±3.9),-100.0% (±0.0%)
Dobrich,Male,(50-54),63.0,113,50.0,13.6,3.7,Significant Increase,26.7,36.3,89.7,79.4,53.4,63.0 (±26.7),50.0 (±26.7),79.4% (±53.4%)
Dobrich,Male,(55-59),121.6,153,31.4,16.9,1.9,Not Significant,33.1,88.5,154.7,25.8,26.9,121.6 (±33.1),31.4 (±33.1),25.8% (±26.9%)
Dobrich,Male,(60-64),153.6,223,69.4,22.2,3.1,Significant Increase,43.5,110.1,197.1,45.2,32.1,153.6 (±43.5),69.4 (±43.5),45.2% (±32.1%)
Dobrich,Male,(65-69),260.4,258,-2.4,25.9,-0.1,Not Significant,50.8,209.6,311.2,-0.9,16.2,260.4 (±50.8),-2.4 (±50.8),-0.9% (±16.2%)
